,Unnamed: 0,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
0,0,17478.6,17383.3,17393.2,17455.55,2022-01-03 09:15:00+05:30,17329.751204350992,75.89116077935746,26.685714285714702,Hold,2022-01-06 00:00:00+00:00,06JAN22,hold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,
1,1,17475.05,17450.75,17455.75,17466.85,2022-01-03 09:30:00+05:30,17333.743679485757,77.19240411258353,27.17857142857169,Hold,2022-01-06 00:00:00+00:00,06JAN22,hold,17450.0,17850.0,17050.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100000.0,
2,2,17499.25,17461.0,17467.1,17489.75,2022-01-03 09:45:00+05:30,17338.40780100198,79.59589009281822,28.3928571428574,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,82.0,123.85,3.2,18.85,-1.0,-1.0,1.0,1.0,-82.0,-123.85,3.2,18.85,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,
3,3,17502.25,17486.25,17489.45,17499.55,2022-01-03 10:00:00+05:30,17343.65675399216,80.54094928459497,28.078571428571845,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,92.6,107.6,3.35,16.95,-1.0,-1.0,1.0,1.0,-92.6,-107.6,3.35,16.95,0.0,0.0,0.0,0.0,-82.0,-123.85,3.2,18.85,10.599999999999994,-16.25,-0.1499999999999999,1.9000000000000021,195.0000000000002,195.0000000000002,100195.0,-2805.0
4,4,17518.0,17488.0,17500.2,17515.05,2022-01-03 10:15:00+05:30,17349.473402189782,81.96385274194196,28.810714285714702,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,94.1,107.4,3.35,17.45,-1.0,-1.0,1.0,1.0,-94.1,-107.4,3.35,17.45,0.0,0.0,0.0,0.0,-92.6,-107.6,3.35,16.95,1.5,-0.19999999999998863,0.0,-0.5,-40.00000000000057,154.99999999999963,100155.0,-2805.0
5,5,17526.8,17506.65,17514.7,17508.2,2022-01-03 10:30:00+05:30,17355.62949464847,79.20732303584191,29.007142857143272,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,104.7,98.65,3.95,16.45,-1.0,-1.0,1.0,1.0,-104.7,-98.65,3.95,16.45,0.0,0.0,0.0,0.0,-94.1,-107.4,3.35,17.45,10.600000000000009,-8.75,-0.6000000000000001,1.0,-112.50000000000043,42.499999999999204,100042.5,-2805.0
6,6,17520.25,17506.6,17507.9,17518.45,2022-01-03 10:45:00+05:30,17362.0936897728,80.27624940850052,26.996428571428883,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,104.2,97.9,4.2,16.75,-1.0,-1.0,1.0,1.0,-104.2,-97.9,4.2,16.75,0.0,0.0,0.0,0.0,-104.7,-98.65,3.95,16.45,-0.5,-0.75,-0.25,-0.3000000000000007,90.00000000000003,132.49999999999923,100132.5,-2805.0
7,7,17525.85,17510.4,17519.55,17525.1,2022-01-03 11:00:00+05:30,17368.812361128526,80.96013539511033,26.596428571428728,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,107.7,91.65,4.2,15.6,-1.0,-1.0,1.0,1.0,-107.7,-91.65,4.2,15.6,0.0,0.0,0.0,0.0,-104.2,-97.9,4.2,16.75,3.5,-6.25,0.0,1.1500000000000004,79.99999999999999,212.4999999999992,100212.5,-2787.500000000001
8,8,17531.7,17516.45,17524.75,17522.9,2022-01-03 11:15:00+05:30,17375.654369930326,79.97222152746912,26.410714285714544,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,111.15,87.9,4.2,14.85,-1.0,-1.0,1.0,1.0,-111.15,-87.9,4.2,14.85,0.0,0.0,0.0,0.0,-107.7,-91.65,4.2,15.6,3.450000000000003,-3.75,0.0,0.75,-22.500000000000142,189.99999999999906,100190.0,-2787.500000000001
9,9,17533.25,17512.0,17522.7,17530.1,2022-01-03 11:30:00+05:30,17382.59837285673,80.79804605707886,26.557142857143067,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,111.05,87.9,4.3,15.1,-1.0,-1.0,1.0,1.0,-111.05,-87.9,4.3,15.1,0.0,0.0,0.0,0.0,-111.15,-87.9,4.2,14.85,-0.10000000000000853,0.0,-0.09999999999999964,-0.25,22.50000000000041,212.49999999999946,100212.5,-2787.5000000000005
