Date,Open,High,Low,Close,Adj Close,Volume,high_roll_max,low_roll_min,head_shoulder_pattern,close_roll_max,close_roll_min,multiple_top_bottom_pattern,support,resistance,triangle_pattern,trend_high,trend_low,wedge_pattern,channel_pattern,double_pattern,slope,intercept,signal
2023-01-02,6565.0,6610.0,6484.75,6553.75,6493.421875,579340,,,,,,,,,,,,,,,,,
2023-01-03,6565.0,6660.0,6530.0,6606.25,6545.4384765625,742081,,,,,,,,,,,,,,,,,HH
2023-01-04,6595.0,6638.0,6550.0,6571.0,6510.51318359375,671253,6660.0,6484.75,,6606.25,6553.75,,351531.249999993,,,1.0,1.0,Wedge Up,Channel Up,,52.499999999998934,6553.749999999999,HL
2023-01-05,6490.0,6490.0,6025.0498046875,6100.0498046875,6043.89794921875,5102300,6660.0,6025.0498046875,,6606.25,6100.0498046875,,,-208385.2556152209,,-1.0,-1.0,,,,-35.24999999999779,6641.500000000002,
2023-01-06,6130.0,6139.9501953125,5941.60009765625,5980.39990234375,5925.349609375,2931922,6638.0,5941.60009765625,,6571.0,5980.39990234375,,,-2808957.601665021,,-1.0,-1.0,,,,-470.95019531250017,7512.900390625005,LL
2023-01-09,6020.0,6078.0,5955.0,5993.35009765625,5938.1806640625,1400548,6490.0,5941.60009765625,,6100.0498046875,5980.39990234375,,,-710644.7543847547,Ascending Triangle,-1.0,-1.0,,,,-119.64990234374977,6458.999511718746,HL
2023-01-10,5999.0,6015.0,5875.0,5904.14990234375,5849.80126953125,1120375,6139.9501953125,5875.0,,5993.35009765625,5904.14990234375,,82388.49351073071,,,-1.0,-1.0,,,,12.95019531250129,5928.59912109374,
2023-01-11,5930.0,5949.0,5865.5498046875,5895.75,5841.478515625,1108891,6078.0,5865.5498046875,Head and Shoulder,5993.35009765625,5895.75,,,-519462.7004394521,,-1.0,-1.0,,,Double Top,-89.20019531249983,6439.351074218749,LH
2023-01-12,5906.5498046875,5964.89990234375,5857.0,5898.39990234375,5844.1044921875,1476949,6015.0,5857.0,,5904.14990234375,5895.75,,,-43591.43384766475,Ascending Triangle,-1.0,-1.0,,,,-8.399902343749824,5954.549316406245,LL
2023-01-13,5920.0,5985.0,5872.0,5977.7998046875,5922.7734375,1108490,5985.0,5857.0,,5977.7998046875,5895.75,,21717.786396510463,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,2.649902343751175,5877.20068359374,
2023-01-16,6000.0,6072.2001953125,5974.5498046875,6010.89990234375,5955.56884765625,908339,6072.2001953125,5857.0,Inverse Head and Shoulder,6010.89990234375,5898.39990234375,,482528.0659277432,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,Double Bottom,79.39990234374989,5263.200683593752,HL
2023-01-17,6019.9501953125,6019.9501953125,5940.0,5984.9501953125,5929.85791015625,817005,6072.2001953125,5872.0,,6010.89990234375,5977.7998046875,,203782.33485841658,,,1.0,1.0,Wedge Up,Channel Up,Double Top,33.100097656249844,5679.898925781255,LH
2023-01-18,6003.9501953125,6049.0,5985.0,5998.64990234375,5943.431640625,796281,6072.2001953125,5940.0,,6010.89990234375,5984.9501953125,,,-149392.81057620363,Ascending Triangle,-1.0,1.0,,,Double Bottom,-25.949707031250522,6270.396972656253,HL
2023-01-19,5983.0,6029.64990234375,5960.64990234375,6012.4501953125,5957.1044921875,548142,6049.0,5940.0,,6012.4501953125,5984.9501953125,,88203.05963372745,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,13.699707031249268,5834.253417968757,
2023-01-20,6012.5,6019.75,5837.2001953125,5860.39990234375,5806.4541015625,833090,6049.0,5837.2001953125,,6012.4501953125,5860.39990234375,,86708.28195308763,,,-1.0,-1.0,,,,13.8002929687485,5833.046386718773,LL
2023-01-23,5881.0,5935.0,5841.0,5863.0,5809.0302734375,856064,6029.64990234375,5837.2001953125,,6012.4501953125,5860.39990234375,,,-883481.7636718801,Ascending Triangle,-1.0,-1.0,,,,-152.05029296875088,7989.104003906257,
2023-01-24,5892.35009765625,5921.0,5842.64990234375,5855.0498046875,5801.1533203125,608145,6019.75,5837.2001953125,,5863.0,5855.0498046875,,21047.699809550206,,,-1.0,1.0,,,,2.6000976562498233,5823.998535156252,HL
2023-01-25,5850.0498046875,5855.0498046875,5777.0,5795.89990234375,5742.5478515625,827837,5935.0,5777.0,Head and Shoulder,5863.0,5795.89990234375,,,-40096.28330563723,,-1.0,-1.0,,,Double Top,-7.950195312498659,5982.252929687483,LH
2023-01-27,5815.0,5861.5498046875,5680.0,5760.7001953125,5707.67236328125,1621352,5921.0,5680.0,,5855.0498046875,5760.7001953125,,,-333943.4057421552,,-1.0,-1.0,,,,-59.1499023437477,6801.44824218746,LL
2023-01-30,5770.0498046875,6066.2001953125,5770.0498046875,6021.7998046875,5966.36865234375,2448160,6066.2001953125,5680.0,,6021.7998046875,5760.7001953125,,,-205571.29400396455,Ascending Triangle,1.0,-1.0,,,,-35.19970703125018,6394.294921875002,HH
2023-01-31,6050.0,6050.0,5874.0,5886.39990234375,5832.21484375,1996788,6066.2001953125,5680.0,Inverse Head and Shoulder,6021.7998046875,5760.7001953125,,1537997.6223535524,,,1.0,1.0,Wedge Up,Channel Up,,261.0996093749998,1060.9072265625057,HL
2023-02-01,5944.0,5980.39990234375,5708.89990234375,5817.2001953125,5763.65234375,2634866,6066.2001953125,5708.89990234375,,6021.7998046875,5817.2001953125,,,-779053.9404101446,,-1.0,-1.0,,,,-135.39990234375128,8594.397949218774,
2023-02-02,5819.0,5819.0,5645.0,5717.64990234375,5665.01806640625,2025044,6050.0,5645.0,Head and Shoulder,5886.39990234375,5717.64990234375,,,-388389.3041064723,,-1.0,-1.0,,,Double Top,-69.19970703124972,7270.394042968745,LH
2023-02-03,5770.0,6030.0,5747.0498046875,6014.25,5958.88818359375,1486892,6030.0,5645.0,,6014.25,5717.64990234375,,,-590812.5931396561,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,-99.55029296875128,7907.756347656281,
2023-02-06,6000.0,6124.0,5955.60009765625,6104.2001953125,6048.01025390625,1073820,6124.0,5645.0,,6104.2001953125,5717.64990234375,,1809698.8217968899,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,296.6000976562493,-807.5522460937339,
2023-02-07,6122.9501953125,6182.0,6100.0,6160.5498046875,6103.8408203125,1472193,6182.0,5747.0498046875,,6160.5498046875,6014.25,,558088.0536718445,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,89.95019531250125,3945.3955078124695,
2023-02-08,6165.0,6377.0,6162.7998046875,6351.64990234375,6293.1826171875,1903208,6377.0,5955.60009765625,,6351.64990234375,6104.2001953125,,362664.80045414617,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,56.349609375001016,4751.809570312475,
2023-02-09,6374.89990234375,6487.7998046875,6335.25,6455.0,6395.58056640625,1838154,6487.7998046875,6100.0,,6455.0,6160.5498046875,,1234934.177734379,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,191.1000976562506,1383.0473632812339,
2023-02-10,6453.9501953125,6527.60009765625,6420.0,6435.5,6376.2607421875,1291282,6527.60009765625,6162.7998046875,Inverse Head and Shoulder,6455.0,6351.64990234375,,668774.1008300686,,,1.0,1.0,Wedge Up,Channel Up,Double Bottom,103.35009765624852,3664.5473632812905,HL
2023-02-13,6434.9501953125,6473.14990234375,6297.0498046875,6345.5,6287.0888671875,736557,6527.60009765625,6297.0498046875,,6455.0,6345.5,,,-116755.74999999665,,-1.0,-1.0,,,,-19.49999999999947,6981.499999999985,LL
2023-02-14,6353.7998046875,6472.35009765625,6310.0,6458.7001953125,6399.2470703125,1034090,6527.60009765625,6297.0498046875,Head and Shoulder,6458.7001953125,6345.5,,,-572327.5175781355,Ascending Triangle,-1.0,-1.0,,,Double Top,-90.00000000000162,8955.500000000045,LH
2023-02-15,6450.0,6496.0,6397.2998046875,6489.9501953125,6430.20947265625,618979,6496.0,6297.0498046875,,6489.9501953125,6345.5,,737726.3240137032,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,113.20019531249895,3062.6943359375323,
