Date,Open,High,Low,Close,Adj Close,Volume,high_roll_max,low_roll_min,head_shoulder_pattern,close_roll_max,close_roll_min,multiple_top_bottom_pattern,support,resistance,triangle_pattern,trend_high,trend_low,wedge_pattern,channel_pattern,double_pattern,slope,intercept,signal
2023-01-02,1080.25,1082.0,1063.8499755859375,1070.949951171875,1053.6163330078125,895053,,,,,,,,,,,,,,,,,
2023-01-03,1070.050048828125,1080.949951171875,1066.4000244140625,1075.9000244140625,1058.486328125,952230,,,,,,,,,,,,,,,,,HL
2023-01-04,1078.949951171875,1081.949951171875,1063.949951171875,1066.9000244140625,1049.632080078125,1369415,1082.0,1063.8499755859375,,1075.9000244140625,1066.9000244140625,,6352.183214112968,,,-1.0,1.0,,,,4.9500732421873614,1070.949951171875,LL
2023-01-05,1075.0,1093.199951171875,1067.4000244140625,1088.3499755859375,1070.73486328125,1605744,1093.199951171875,1063.949951171875,,1088.3499755859375,1066.9000244140625,,,-8710.249755859024,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,-8.999999999999677,1084.9000244140625,HH
2023-01-06,1088.3499755859375,1093.0999755859375,1073.5,1076.3499755859375,1058.928955078125,824772,1093.199951171875,1063.949951171875,,1088.3499755859375,1066.9000244140625,,24111.654542237597,,,1.0,1.0,Wedge Up,Channel Up,,21.44995117187507,1024.0001220703134,LH
2023-01-09,1081.75,1096.949951171875,1076.9000244140625,1087.449951171875,1069.8492431640625,893437,1096.949951171875,1067.4000244140625,Inverse Head and Shoulder,1088.3499755859375,1076.3499755859375,,,-11925.04943847638,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,Double Bottom,-11.999999999999831,1124.3499755859364,HL
2023-01-10,1086.5,1090.25,1074.8499755859375,1078.699951171875,1061.2408447265625,594426,1096.949951171875,1073.5,,1087.449951171875,1076.3499755859375,,13005.493195801988,,,-1.0,1.0,,,,11.099975585937514,1031.9500732421866,
2023-01-11,1078.699951171875,1083.949951171875,1043.0,1047.5999755859375,1030.644287109375,2168577,1096.949951171875,1043.0,,1087.449951171875,1047.5999755859375,,,-8035.299835205145,,-1.0,-1.0,,,,-8.750000000000064,1131.1999511718752,LL
2023-01-12,1052.800048828125,1064.0999755859375,1043.1500244140625,1061.1500244140625,1043.97509765625,1188988,1090.25,1043.0,Head and Shoulder,1078.699951171875,1047.5999755859375,,,-31736.440047606877,Ascending Triangle,-1.0,-1.0,,,Double Top,-31.099975585937546,1265.2998046875,LH
2023-01-13,1064.0,1070.5999755859375,1053.25,1067.75,1050.4681396484375,1089004,1083.949951171875,1043.0,Inverse Head and Shoulder,1067.75,1047.5999755859375,,15420.814270019458,,Ascending Triangle,-1.0,1.0,,,Double Bottom,13.550048828124932,952.7496337890633,HL
2023-01-16,1070.5,1074.699951171875,1051.0,1059.5999755859375,1042.4500732421875,825308,1074.699951171875,1043.1500244140625,,1067.75,1059.5999755859375,,8001.68418945372,,,1.0,1.0,Wedge Up,Channel Up,,6.599975585937499,1008.3502197265624,LL
2023-01-17,1062.800048828125,1071.0999755859375,1053.3499755859375,1069.0999755859375,1051.79638671875,762941,1074.699951171875,1051.0,,1069.0999755859375,1059.5999755859375,,,-7572.090682372396,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,Double Top,-8.150024414062448,1141.1002197265625,LH
2023-01-18,1068.9000244140625,1072.0,1059.3499755859375,1063.4000244140625,1046.1885986328125,1299797,1074.699951171875,1051.0,Inverse Head and Shoulder,1069.0999755859375,1059.5999755859375,,11066.900207519664,,,-1.0,1.0,,,Double Bottom,9.500000000000126,964.5999755859357,HL
2023-01-19,1063.5,1069.5999755859375,1058.550048828125,1064.8499755859375,1047.6151123046875,376954,1072.0,1053.3499755859375,,1069.0999755859375,1063.4000244140625,,,-4937.793427735474,Ascending Triangle,-1.0,1.0,,,,-5.699951171874911,1131.799438476561,
2023-01-20,1067.0,1067.0,1050.449951171875,1053.449951171875,1036.399658203125,954230,1072.0,1050.449951171875,,1064.8499755859375,1053.449951171875,,2573.4516015645986,,,-1.0,-1.0,,,,1.4499511718747249,1046.0006103515666,LL
2023-01-23,1053.4000244140625,1064.25,1050.699951171875,1062.550048828125,1045.3524169921875,750581,1069.5999755859375,1050.449951171875,,1064.8499755859375,1053.449951171875,,,-10900.046204835142,Ascending Triangle,-1.0,-1.0,,,,-11.400024414062466,1213.0502929687486,LH
2023-01-24,1065.0,1074.9000244140625,1055.050048828125,1062.1500244140625,1044.9588623046875,712627,1074.9000244140625,1050.449951171875,,1062.550048828125,1053.449951171875,,10591.71753174066,,,1.0,1.0,Wedge Up,Channel Up,,9.100097656249995,926.0485839843748,HL
2023-01-25,1064.9000244140625,1068.25,1020.0,1035.25,1018.4942016601562,2226483,1074.9000244140625,1020.0,,1062.550048828125,1035.25,,,654.4251403811943,,1.0,-1.0,,,Double Top,-0.4000244140621718,1068.5504150390577,LH
2023-01-27,1023.25,1072.949951171875,1023.25,1047.25,1030.300048828125,2947920,1074.9000244140625,1020.0,,1062.1500244140625,1035.25,,,-26678.50015258759,Ascending Triangle,-1.0,-1.0,,,,-26.90002441406221,1492.5504150390575,HH
2023-01-30,1057.0,1057.0,1028.5,1034.4000244140625,1017.657958984375,2118395,1072.949951171875,1020.0,,1047.25,1034.4000244140625,,13244.050292968688,,,-1.0,1.0,,,,11.99999999999994,831.2500000000007,HL
2023-01-31,1043.0,1043.0,1007.5,1017.9500122070312,1001.4742431640624,2705095,1072.949951171875,1007.5,,1047.25,1017.9500122070312,,,-11802.083244018233,,-1.0,-1.0,,,,-12.849975585937477,1278.5495605468745,LL
2023-02-01,1019.0,1035.9000244140625,1015.0999755859376,1032.050048828125,1015.3460693359376,1598213,1057.0,1007.5,,1034.4000244140625,1017.9500122070312,,,-15630.285645142223,Ascending Triangle,-1.0,-1.0,,,,-16.450012207031275,1346.9502563476567,
2023-02-02,1026.0999755859375,1032.800048828125,1017.2999877929688,1025.300048828125,1008.705322265625,1291262,1043.0,1007.5,Inverse Head and Shoulder,1032.050048828125,1017.9500122070312,,15192.717515870772,,,-1.0,1.0,,,Double Bottom,14.100036621093594,735.94927978516,HL
2023-02-03,1022.0,1027.800048828125,1010.5,1022.2999877929688,1005.7538452148438,1617105,1035.9000244140625,1010.5,Head and Shoulder,1032.050048828125,1022.2999877929688,,,-5726.724868774547,,-1.0,-1.0,,,Double Top,-6.750000000000133,1173.8000488281286,LH
2023-02-06,1020.0,1033.5999755859375,1010.1500244140624,1029.800048828125,1013.1324462890624,979035,1033.5999755859375,1010.1500244140624,,1029.800048828125,1022.2999877929688,,,-1998.161608889677,Ascending Triangle,1.0,-1.0,,,,-3.0000610351562274,1091.3013916015614,LL
2023-02-07,1029.800048828125,1034.8499755859375,1021.2999877929688,1031.300048828125,1014.6082153320312,965322,1034.8499755859375,1010.1500244140624,,1031.300048828125,1022.2999877929688,,8584.611895754837,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,Double Bottom,7.500061035156154,849.7985839843772,HL
2023-02-08,1035.0,1041.199951171875,1019.1500244140624,1039.0999755859375,1022.2818603515624,746863,1041.199951171875,1010.1500244140624,,1039.0999755859375,1029.800048828125,,2552.4500122069694,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,1.499999999999939,993.8000488281267,LL
2023-02-09,1025.300048828125,1044.5999755859375,1020.0,1021.5,1004.9667358398438,1331902,1044.5999755859375,1019.1500244140624,,1039.0999755859375,1021.5,,8803.927062988376,,,1.0,-1.0,,,,7.799926757812595,836.3018798828099,HL
2023-02-10,1021.0,1036.8499755859375,1015.0499877929688,1033.199951171875,1016.4773559570312,1106858,1044.5999755859375,1015.0499877929688,,1039.0999755859375,1021.5,,,-16687.594575197065,Ascending Triangle,-1.0,-1.0,,,Double Top,-17.599975585938058,1496.699340820327,LH
2023-02-13,1036.0,1040.5999755859375,1019.0,1021.9500122070312,1005.4095458984376,1042379,1044.5999755859375,1015.0499877929688,,1033.199951171875,1021.5,,12662.366561278879,,,-1.0,-1.0,,,Double Bottom,11.699951171875178,705.6013183593705,HL
2023-02-14,1026.699951171875,1032.449951171875,1017.5999755859376,1028.3499755859375,1011.7058715820312,759416,1040.5999755859375,1015.0499877929688,,1033.199951171875,1021.9500122070312,,,-10220.676217653292,Ascending Triangle,-1.0,1.0,,,Double Top,-11.249938964844185,1348.1982421875125,LH
2023-02-15,1026.8499755859375,1033.449951171875,1016.0999755859376,1030.800048828125,1014.1163330078124,662924,1040.5999755859375,1016.0999755859376,,1030.800048828125,1021.9500122070312,,7433.43363769332,,Ascending Triangle,-1.0,-1.0,,,,6.399963378906046,836.3510742187564,LL
2023-02-16,1031.75,1038.0,1028.3499755859375,1035.5,1018.7401123046876,667265,1038.0,1016.0999755859376,,1035.5,1028.3499755859375,,3491.898620605436,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,Double Bottom,2.4500732421874676,954.8477783203133,HL
